Jan-00,Feb-00,Mar-00,Apr-00,May-00,Jun-00,Jul-00,Aug-00,Sep-00,Oct-00,Nov-00,Dec-00,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22
9.28,8.99,9.06,8.95,8.96,8.66,8,7.85,7.96,7.84,7.31,6.79,5.99,5.43,5.84,6.59,6.46,6.04,5.75,5.15,4.89,4.74,5.34,5.93,6.08,5.92,6.3,6.47,6.3,5.93,5.7,5.37,5.37,5.39,5.29,5.28,4.96,4.73,4.78,4.6,4.27,4.07,4.37,4.62,4.25,4.28,4.77,4.87,4.88,4.83,4.58,4.54,4.39,4.28,4.19,3.82,3.59,3.54,3.42,3.28,3.65,4.19,4.04,3.86,3.71,3.79,4.12,4.33,4.52,4.81,5.1,5.06,5.02,4.87,4.93,4.95,4.78,4.89,4.89,4.77,4.69,4.62,4.72,4.82,4.97,4.91,4.79,4.94,5.1,5.24,5.35,5.28,5.39,5.42,5.54,5.89,5.44,5.06,5.15,4.98,5.28,5.7,5.96,5.77,5.81,5.09,4.97,3.97,3.44,3.78,3.69,3.76,3.83,4.09,4.09,4.42,4.4,4.47,4.32,4.24,4.29,4.19,3.94,3.77,3.7,3.75,3.88,3.73,3.48,3.24,3.4,3.25,3.71,3.94,3.74,3.74,3.66,3.65,3.77,3.57,3.45,3.47,3.39,3.36,3.37,3.43,3.55,3.5,3.38,3.29,3.01,2.83,2.81,2.78,2.8,2.85,2.75,2.7,2.6,2.55,2.59,2.87,2.91,2.94,2.9,2.83,2.936,2.941,2.892,2.854,2.874,2.875,2.838,2.746,2.558,2.54,2.405,2.239,2.138,2.143,2.039,2.024,1.865,1.739,1.875,1.773,1.777,1.735,1.651,1.627,1.752,1.719,1.628,1.474,1.498,1.468,1.455,1.334,1.218,1.238,1.312,1.361,1.609,1.692,1.643,1.665,1.709,1.678,1.69,1.673,1.74,1.78,1.785,2.026,2.15,2.1,2.19,2.277,2.271,2.192,2.25,2.175,2.097,2.019,1.953,2.01,1.94,1.825,1.807,1.802,1.789,1.736,1.679,1.496,1.382,1.164,1.287,1.357,1.492,1.39,1.373,1.253,1.091,1.024,0.878,0.85,0.826,0.829,0.908,0.91,0.965,0.97,0.975,0.995,1.133,1.138,1.134,1.302,1.419,1.411,1.515,1.842,1.953,1.8,2.06,2.285,2.369,2.941,3.019,3.477,3.238,3.247,3.903,4.235,3.895,3.63
10.25,10.01,10,9.97,9.91,9.72,9.13,9,9,8.72,8.42,8.12,7.76,6.79,7.16,7.91,7.7,7.24,7,6.51,6.32,6.31,6.79,7.11,7.07,6.89,7.05,7.2,7.07,6.76,6.59,6.23,6.06,6.01,5.9,5.88,5.48,5.25,5.44,5.39,5.26,5.28,5.65,5.87,5.24,5.18,5.53,5.61,5.67,5.63,5.37,5.29,5.07,4.91,4.77,4.38,4.1,4.01,3.86,3.73,4.11,4.63,4.48,4.28,4.12,4.18,4.52,4.75,4.92,5.2,5.5,5.49,5.5,5.33,5.3,5.24,5.05,5.17,5.18,5.1,5.02,4.93,5.05,5.18,5.32,5.28,5.2,5.34,5.49,5.64,5.75,5.7,5.85,5.98,6.16,6.73,6.64,6.27,6.13,5.91,6.22,6.68,6.99,7.11,7.46,7.95,8.56,8.35,7.34,7.07,6.14,5.68,5.16,5.21,5.46,5.74,5.58,5.6,5.43,5.35,5.4,5.32,5.02,4.69,4.48,4.65,4.81,4.68,4.41,4.13,4.19,4.17,4.52,4.72,4.54,4.54,4.44,4.4,4.48,4.29,4.24,4.29,4.24,4.24,4.24,4.25,4.36,4.25,4.01,3.87,3.6,3.4,3.31,3.3,3.32,3.3,3.2,3.06,2.95,2.91,2.96,3.24,3.38,3.33,3.29,3.25,3.366,3.36,3.319,3.28,3.303,3.303,3.264,3.168,2.97,2.926,2.786,2.595,2.466,2.46,2.356,2.3,2.128,1.988,2.115,2.012,2.001,1.98,1.946,1.962,2.118,2.143,2.091,1.95,1.979,1.94,1.91,1.789,1.65,1.645,1.704,1.781,2.021,2.162,2.104,2.13,2.208,2.195,2.216,2.208,2.278,2.32,2.333,2.574,2.709,2.649,2.722,2.815,2.831,2.794,2.86,2.805,2.75,2.656,2.403,2.452,2.403,2.304,2.263,2.249,2.244,2.207,2.153,2.004,1.885,1.689,1.792,1.861,2.002,1.948,1.955,1.847,1.84,2.145,2.179,2.218,2.219,2.192,2.239,2.239,2.247,2.211,2.143,2.055,2.091,1.983,1.891,1.913,1.888,1.838,1.953,2.302,2.492,2.41,2.632,2.873,3.028,3.631,3.775,4.233,4.126,4.227,4.9,5.436,5.487,5.302
