01-Jan,01-Feb,01-Mar,01-Apr,01-May,01-Jun,01-Jul,01-Aug,01-Sep,01-Oct,01-Nov,01-Dec,02-Jan,02-Feb,02-Mar,02-Apr,02-May,02-Jun,02-Jul,02-Aug,02-Sep,02-Oct,02-Nov,02-Dec,03-Jan,03-Feb,03-Mar,03-Apr,03-May,03-Jun,03-Jul,03-Aug,03-Sep,03-Oct,03-Nov,03-Dec,04-Jan,04-Feb,04-Mar,04-Apr,04-May,04-Jun,04-Jul,04-Aug,04-Sep,04-Oct,04-Nov,04-Dec,05-Jan,05-Feb,05-Mar,05-Apr,05-May,05-Jun,05-Jul,05-Aug,05-Sep,05-Oct,05-Nov,05-Dec,06-Jan,06-Feb,06-Mar,06-Apr,06-May,06-Jun,06-Jul,06-Aug,06-Sep,06-Oct,06-Nov,06-Dec,07-Jan,07-Feb,07-Mar,07-Apr,07-May,07-Jun,07-Jul,07-Aug,07-Sep,07-Oct,07-Nov,07-Dec,08-Jan,08-Feb,08-Mar,08-Apr,08-May,08-Jun,08-Jul,08-Aug,08-Sep,08-Oct,08-Nov,08-Dec,09-Jan,09-Feb,09-Mar,09-Apr,09-May,09-Jun,09-Jul,09-Aug,09-Sep,09-Oct,09-Nov,09-Dec,10-Jan,10-Feb,10-Mar,10-Apr,10-May,10-Jun,10-Jul,10-Aug,10-Sep,10-Oct,10-Nov,10-Dec,11-Jan,11-Feb,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,12-Apr,12-May,12-Jun,12-Jul,12-Aug,12-Sep,12-Oct,12-Nov,12-Dec,13-Jan,13-Feb,13-Mar,13-Apr,13-May,13-Jun,13-Jul,13-Aug,13-Sep,13-Oct,13-Nov,13-Dec,14-Jan,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,22-Jan,22-Feb,22-Mar,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep,22-Oct,22-Nov,22-Dec
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.30658E+11,4.69424E+11,4.48728E+11,4.2264E+11,4.50819E+11,4.6841E+11,5.18357E+11,5.05715E+11,5.70575E+11,5.42755E+11,6.08656E+11,6.55075E+11,6.66033E+11,6.66368E+11,6.62902E+11,6.93152E+11,6.42424E+11,6.33158E+11,6.36261E+11,6.64896E+11,6.7427E+11,6.69926E+11,7.03252E+11,7.04588E+11,6.6864E+11,6.9604E+11,7.13293E+11,7.57287E+11,8.35119E+11,8.6354E+11,9.61206E+11,9.32095E+11,9.74021E+11,1.02927E+12,9.53827E+11,9.51918E+11,8.17429E+11,8.60219E+11,8.61436E+11,9.2673E+11,9.40202E+11,8.5087E+11,8.09817E+11,7.49708E+11,7.36657E+11,5.66438E+11,5.54123E+11,5.76928E+11,5.98142E+11,5.47086E+11,6.23454E+11,7.10679E+11,7.25875E+11,7.20212E+11,8.08504E+11,8.29731E+11,8.72916E+11,8.28749E+11,8.19088E+11,8.87935E+11,8.48136E+11,8.44069E+11,9.03949E+11,9.31743E+11,9.04296E+11,9.365E+11,9.7282E+11,9.63954E+11,1.03767E+12,1.04509E+12,1.05864E+12,1.14189E+12,1.15675E+12,1.08635E+12,1.18142E+12,1.22981E+12,1.20154E+12,1.18347E+12,1.20358E+12,1.06266E+12,1.00192E+12,1.08179E+12,1.04914E+12,1.042E+12,1.11715E+12,1.16338E+12,1.15758E+12,1.14167E+12,1.06132E+12,1.06829E+12,1.08639E+12,1.09807E+12,1.15063E+12,1.10358E+12,1.11729E+12,1.15429E+12,1.13519E+12,1.17319E+12,1.16166E+12,1.1376E+12,1.16422E+12,1.08422E+12,1.11457E+12,1.12819E+12,1.16798E+12,1.19378E+12,1.20418E+12,1.18597E+12,1.14552E+12,1.17345E+12,1.18249E+12,1.16802E+12,1.19262E+12,1.19722E+12,1.24242E+12,1.23889E+12,1.20567E+12,1.17614E+12,1.21629E+12,1.19225E+12,1.21349E+12,1.23524E+12,1.27232E+12,1.32728E+12,1.31861E+12,1.29313E+12,1.26886E+12,1.21268E+12,1.23058E+12,1.28493E+12,1.26366E+12,1.24283E+12,1.20746E+12,1.21324E+12,1.265E+12,1.26195E+12,1.25536E+12,1.2502E+12,1.28316E+12,1.29694E+12,1.3018E+12,1.27975E+12,1.2773E+12,1.30844E+12,1.33841E+12,1.35189E+12,1.40096E+12,1.43087E+12,1.51922E+12,1.54926E+12,1.56065E+12,1.53563E+12,1.55824E+12,1.64229E+12,1.60717E+12,1.60582E+12,1.66858E+12,1.61156E+12,1.62765E+12,1.6801E+12,1.61939E+12,1.55472E+12,1.53603E+12,1.55487E+12,1.5676E+12,1.36148E+12,1.40348E+12,1.34397E+12,1.45551E+12,1.44877E+12,1.41725E+12,1.46153E+12,1.35869E+12,1.41952E+12,1.34975E+12,1.3136E+12,1.37938E+12,1.39713E+12,1.40194E+12,1.47591E+12,1.42705E+12,1.33772E+12,1.17973E+12,1.30918E+12,1.36345E+12,1.41886E+12,1.5268E+12,1.5811E+12,1.58447E+12,1.553E+12,1.77964E+12,1.98054E+12,2.0513E+12,2.07982E+12,2.13337E+12,2.19664E+12,2.2402E+12,2.30758E+12,2.25255E+12,2.30906E+12,2.23196E+12,2.15938E+12,2.09582E+12,2.20337E+12,2.09486E+12,2.12019E+12,2.16496E+12,2.11986E+12,2.11378E+12,1.83549E+12,1.9319E+12,1.94813E+12,1.69845E+12,1.81026E+12,1.95384E+12,1.76724E+12
585.0 ,593.4 ,543.9 ,530.3 ,600.7 ,602.9 ,554.1 ,567.7 ,504.0 ,523.3 ,604.9 ,666.0 ,739.0 ,774.4 ,864.7 ,894.0 ,842.2 ,784.3 ,753.7 ,713.2 ,703.0 ,642.2 ,679.7 ,699.8 ,631.0 ,591.6 ,550.8 ,585.9 ,613.5 ,663.2 ,703.5 ,731.7 ,742.3 ,756.5 ,789.1 ,801.2 ,845.5 ,867.5 ,875.6 ,907.1 ,798.8 ,771.6 ,746.1 ,770.3 ,835.9 ,849.1 ,863.1 ,873.1 ,903.4 ,964.5 ,988.2 ,955.4 ,939.0 ,991.3 ,1058.7 ,1101.8 ,1171.0 ,1190.9 ,1253.3 ,1338.8 ,1379.3 ,1341.7 ,1331.7 ,1415.9 ,1388.8 ,1249.2 ,1278.0 ,1316.1 ,1356.5 ,1354.0 ,1403.9 ,1418.8 ,1379.3 ,1434.9 ,1431.6 ,1517.1 ,1614.9 ,1754.3 ,1911.6 ,1815.0 ,1879.0 ,2004.6 ,1924.8 ,1904.0 ,1732.3 ,1689.5 ,1651.2 ,1776.6 ,1846.8 ,1758.2 ,1569.6 ,1537.6 ,1446.6 ,1201.7 ,1074.0 ,1114.9 ,1156.4 ,1139.8 ,1140.5 ,1322.1 ,1400.5 ,1395.2 ,1460.0 ,1577.9 ,1659.5 ,1630.6 ,1583.5 ,1646.6 ,1682.2 ,1599.0 ,1665.5 ,1730.3 ,1648.3 ,1691.9 ,1731.1 ,1762.2 ,1815.8 ,1889.7 ,1924.7 ,2002.5 ,2091.6 ,2002.9 ,2002.7 ,2153.1 ,2121.9 ,2074.6 ,2150.1 ,1869.4 ,1791.0 ,1825.9 ,1858.8 ,1863.2 ,1891.0 ,2003.2 ,2023.4 ,1995.9 ,1886.4 ,1848.6 ,1826.8 ,1918.9 ,1961.3 ,1942.2 ,1904.7 ,1973.8 ,1986.1 ,1979.9 ,1990.2 ,1938.9 ,1974.5 ,1884.4 ,1871.8 ,1897.0 ,1984.4 ,2029.7 ,2009.9 ,1988.3 ,1948.2 ,1937.7 ,1952.4 ,1991.2 ,1994.1 ,1995.1 ,2022.0 ,2060.9 ,2042.7 ,1942.8 ,1959.7 ,1941.9 ,1921.0 ,1961.0 ,2012.6 ,2107.3 ,2114.9 ,2063.7 ,2058.0 ,1952.6 ,1939.6 ,2020.6 ,2006.8 ,1971.5 ,1894.7 ,1900.6 ,1976.5 ,1996.2 ,1966.7 ,1977.0 ,2002.5 ,2036.7 ,2042.6 ,2036.0 ,1981.8 ,2021.7 ,2061.7 ,2082.8 ,2136.2 ,2160.2 ,2301.9 ,2372.2 ,2412.9 ,2372.2 ,2371.8 ,2482.9 ,2533.5 ,2467.7 ,2520.9 ,2439.1 ,2451.6 ,2458.2 ,2461.3 ,2394.5 ,2284.3 ,2283.8 ,2307.3 ,2153.5 ,2083.3 ,2070.1 ,2102.0 ,2210.2 ,2161.9 ,2212.1 ,2086.9 ,2105.3 ,2079.5 ,1944.2 ,2045.2 ,2065.8 ,2128.8 ,2147.0 ,2203.4 ,2167.1 ,1786.8 ,1849.6 ,1965.2 ,2134.7 ,2196.0 ,2349.9 ,2371.5 ,2357.8 ,2504.2 ,2755.8 ,3089.3 ,3092.4 ,3032.5 ,3165.1 ,3169.2 ,3259.1 ,3254.6 ,3182.5 ,3141.7 ,2989.9 ,2964.3 ,2988.5 ,2865.6 ,2724.0 ,2698.7 ,2703.2 ,2628.3 ,2475.0 ,2362.8 ,2479.6 ,2333.9 ,2230.3 ,2417.6 ,2361.3 
